1	390567	7384002	62	62	62	62	62	62	0.0382	0.0382
2	349166	7259463	66	66	66	66	66	66	0.0407	0.0407
3	342122	7283345	25	25	25	25	25	25	0.0154	0.0154
4	374311	7341935	19	19	19	19	19	19	0.0117	0.0117
5	441540	7434331	429	429	429	429	429	429	0.2647	0.2647
6	393191	7379671	62	62	62	62	62	62	0.0382	0.0382
7	369289	7483493	175	175	175	175	175	175	0.108	0.108
8	485980	7601683	88	88	88	88	88	88	0.0543	0.0543
9	532159	7653658	118	118	118	118	118	118	0.0728	0.0728
10	522771	7672109	443	443	443	443	443	443	0.2733	0.2733
11	502549	7656817	134	134	134	134	134	134	0.0827	0.0827
